"","response_uuid","Age","Trial","Usable frames (%)","person_good"
"1","05a6c763-c9ae-47e0-acc5-a109c535a438","6","1",0.954198473282443,0.912
"2","05a6c763-c9ae-47e0-acc5-a109c535a438","6","10",0.833333333333333,0.427272727272727
"3","05a6c763-c9ae-47e0-acc5-a109c535a438","6","2",0.941176470588235,0.821428571428571
"4","05a6c763-c9ae-47e0-acc5-a109c535a438","6","3",0.875,0.0285714285714286
"5","05a6c763-c9ae-47e0-acc5-a109c535a438","6","4",0.932835820895522,0.648
"6","05a6c763-c9ae-47e0-acc5-a109c535a438","6","5",0.789473684210526,0.533333333333333
"7","05a6c763-c9ae-47e0-acc5-a109c535a438","6","6",0.932330827067669,0.32258064516129
"8","05a6c763-c9ae-47e0-acc5-a109c535a438","6","7",0.777777777777778,0.857142857142857
"9","05a6c763-c9ae-47e0-acc5-a109c535a438","6","8",0.577777777777778,0.769230769230769
"10","05a6c763-c9ae-47e0-acc5-a109c535a438","6","9",0.932835820895522,0.416
"11","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","1",0.893129770992366,0.538461538461538
"12","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","2",0.823529411764706,0.275510204081633
"13","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","4",0.985074626865672,0.196969696969697
"14","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","5",0.932330827067669,0.354838709677419
"15","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","7",0.985185185185185,0.0676691729323308
"16","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","8",0.977777777777778,0.159090909090909
"17","129ae736-993a-4970-aea3-990df58c2629","12","1",0.809160305343511,0.613207547169811
"18","129ae736-993a-4970-aea3-990df58c2629","12","10",0.96969696969697,0.359375
"19","129ae736-993a-4970-aea3-990df58c2629","12","2",0.966386554621849,0.556521739130435
"20","129ae736-993a-4970-aea3-990df58c2629","12","3",0.925,0.594594594594595
"21","129ae736-993a-4970-aea3-990df58c2629","12","4",0.977611940298508,0.534351145038168
"22","129ae736-993a-4970-aea3-990df58c2629","12","5",0.917293233082707,0.450819672131148
"23","129ae736-993a-4970-aea3-990df58c2629","12","6",0.909774436090226,0.628099173553719
"24","129ae736-993a-4970-aea3-990df58c2629","12","7",0.881481481481482,0.672268907563025
"25","129ae736-993a-4970-aea3-990df58c2629","12","8",0.903703703703704,0.549180327868853
"26","129ae736-993a-4970-aea3-990df58c2629","12","9",0.977611940298508,0.923664122137405
"27","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","1",0.931297709923664,0.327868852459016
"28","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","10",0.886363636363636,0.41025641025641
"29","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","2",0.722689075630252,0.616279069767442
"30","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","3",0.9,0.768518518518518
"31","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","4",0.858208955223881,0.582608695652174
"32","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","5",0.781954887218045,0.846153846153846
"33","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","6",0.736842105263158,0.938775510204082
"34","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","7",0.785185185185185,0.349056603773585
"35","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","8",0.948148148148148,0.890625
"36","38a73cfc-a0db-40e7-a592-63ae9c363c2c","12","1",0.748091603053435,0.459183673469388
"37","38a73cfc-a0db-40e7-a592-63ae9c363c2c","12","10",0.984848484848485,0.446153846153846
