"","response_uuid","Age","Trial","Usable frames (%)","synch_good","Stimulus type"
"1","05a6c763-c9ae-47e0-acc5-a109c535a438","6","1",0.935096153846154,0.753213367609255,"Nonsocial"
"2","05a6c763-c9ae-47e0-acc5-a109c535a438","6","2",0.897674418604651,0.637305699481865,"Social"
"3","05a6c763-c9ae-47e0-acc5-a109c535a438","6","3",0.821002386634845,0.633720930232558,"Nonsocial"
"4","05a6c763-c9ae-47e0-acc5-a109c535a438","6","4",0.873239436619718,0.308243727598566,"Social"
"5","05a6c763-c9ae-47e0-acc5-a109c535a438","6","5",0.933649289099526,0.649746192893401,"Nonsocial"
"6","05a6c763-c9ae-47e0-acc5-a109c535a438","6","6",0.918032786885246,0.74234693877551,"Social"
"7","05a6c763-c9ae-47e0-acc5-a109c535a438","6","7",0.799043062200957,0.296407185628743,"Nonsocial"
"8","05a6c763-c9ae-47e0-acc5-a109c535a438","6","8",0.967441860465116,0.396634615384615,"Social"
"9","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","1",0.682692307692308,0.697183098591549,"Nonsocial"
"10","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","2",0.462790697674419,0.437185929648241,"Social"
"11","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","3",0.88782816229117,0.588709677419355,"Nonsocial"
"12","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","4",0.738654147104851,0.36864406779661,"Social"
"13","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","5",0.710900473933649,0.353333333333333,"Nonsocial"
"14","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","6",0.807962529274005,0.411594202898551,"Social"
"15","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","7",0.834928229665072,0.547277936962751,"Nonsocial"
"16","0925d87d-8d50-49d1-99d8-ac2c28a25a0e","6","8",0.441860465116279,0.547368421052632,"Social"
"17","129ae736-993a-4970-aea3-990df58c2629","12","1",0.713942307692308,0.589225589225589,"Nonsocial"
"18","129ae736-993a-4970-aea3-990df58c2629","12","2",0.809302325581395,0.517241379310345,"Social"
"19","129ae736-993a-4970-aea3-990df58c2629","12","3",0.422434367541766,0.502824858757062,"Nonsocial"
"20","129ae736-993a-4970-aea3-990df58c2629","12","4",0.431924882629108,0.246376811594203,"Social"
